Year,Month,Rate
2021,Jan,13.10%
2021,Feb,13.20%
2021,March,11.20%
2021,April,10.80%
2021,May,9.90%
2021,June,10.10%
2021,July,10.20%
2021,August,9.80%
2021,September,8.90%
2021,October,8.40%
2020,Jan,3.80%
2020,Feb,3.80%
2020,March,4.20%
2020,April,15.50%
2020,May,20.20%
2020,June,18.70%
2020,July,18.80%
2020,August,14.90%
2020,September,14.70%
2020,October,11.70%
2020,November,11.70%
2020,December,11.60%
2019,Jan,4.80%
2019,Feb,4.40%
2019,March,4.10%
2019,April,3.60%
2019,May,3.80%
2019,June,3.80%
2019,July,4.10%
2019,August,4%
2019,September,3.50%
2019,October,3.70%
2019,November,3.40%
2019,December,3%
2018,Jan,4.60%
2018,Feb,4.50%
2018,March,4.30%
2018,April,3.90%
2018,May,3.60%
2018,June,4.20%
2018,July,4.30%
2018,August,4.30%
2018,September,3.90%
2018,October,4%
2018,November,3.80%
2018,December,4%
2017,Jan,5%
2017,Feb,4.90%
2017,March,4.40%
2017,April,4.20%
2017,May,4.30%
2017,June,4.50%
2017,July,4.90%
2017,August,5%
2017,September,4.50%
2017,October,4.40%
2017,November,4%
2017,December,4%
