AREATYPE,AREA, YEAR, MONTH,LABORFORCE,EMP,UNEMP,UNEMPRATE                                                                                             
County,Albany County,2021,1,156900,147400,9500,6
County,Albany County,2021,2,156700,146700,10000,6.4
County,Albany County,2021,3,156700,147700,8900,5.7
County,Albany County,2021,4,155800,148200,7600,4.9
County,Albany County,2021,5,155300,148400,6900,4.4
County,Albany County,2021,6,156600,149100,7500,4.8
County,Albany County,2021,7,157100,149400,7700,4.9
County,Albany County,2021,8,156700,149200,7500,4.8
County,Albany County,2021,9,155500,149300,6200,4
County,Albany County,2021,10,155900,150000,5900,3.8
County,Albany County,2020,0,157300,146000,11300,7.2
County,Albany County,2020,1,157000,151000,5900,3.8
County,Albany County,2020,2,156100,150200,5900,3.8
County,Albany County,2020,3,155900,149700,6100,3.9
County,Albany County,2020,4,149800,130300,19600,13.1
County,Albany County,2020,5,154800,138800,16000,10.3
County,Albany County,2020,6,159500,142800,16700,10.5
County,Albany County,2020,7,163200,145800,17400,10.6
County,Albany County,2020,8,161700,148400,13300,8.2
County,Albany County,2020,9,156900,147800,9100,5.8
County,Albany County,2020,10,157100,148700,8400,5.3
County,Albany County,2020,11,158100,149700,8400,5.3
County,Albany County,2020,12,157800,149000,8800,5.6
County,Albany County,2019,0,156900,151400,5500,3.5
County,Albany County,2019,1,156300,150000,6200,4
County,Albany County,2019,2,155400,149200,6200,4
County,Albany County,2019,3,156100,150400,5700,3.7
County,Albany County,2019,4,156000,151000,5000,3.2
County,Albany County,2019,5,156400,151500,5000,3.2
County,Albany County,2019,6,157700,152300,5400,3.4
County,Albany County,2019,7,158700,152800,5900,3.7
County,Albany County,2019,8,158600,152800,5900,3.7
County,Albany County,2019,9,157500,152300,5200,3.3
County,Albany County,2019,10,157900,152700,5200,3.3
County,Albany County,2019,11,156700,151800,4900,3.1
County,Albany County,2019,12,155400,150200,5300,3.4
County,Albany County,2018,0,157300,151500,5800,3.7
County,Albany County,2018,1,155600,148500,7100,4.5
County,Albany County,2018,2,155600,148400,7200,4.6
County,Albany County,2018,3,156500,150000,6400,4.1
County,Albany County,2018,4,157000,151200,5800,3.7
County,Albany County,2018,5,157700,152500,5200,3.3
County,Albany County,2018,6,160100,154000,6100,3.8
County,Albany County,2018,7,159200,153300,5900,3.7
County,Albany County,2018,8,158000,152300,5700,3.6
County,Albany County,2018,9,157500,152400,5100,3.2
County,Albany County,2018,10,157800,152800,5000,3.2
County,Albany County,2018,11,156900,152200,4700,3
County,Albany County,2018,12,155900,150600,5300,3.4
County,Albany County,2017,0,158000,151300,6700,4.2
County,Albany County,2017,1,156500,149400,7100,4.6
County,Albany County,2017,2,156200,148800,7300,4.7
County,Albany County,2017,3,157200,150800,6300,4
County,Albany County,2017,4,158300,152100,6300,3.9
County,Albany County,2017,5,158000,151800,6200,4
County,Albany County,2017,6,160300,153300,7000,4.4
County,Albany County,2017,7,160000,152900,7100,4.5
County,Albany County,2017,8,159600,152500,7100,4.5
County,Albany County,2017,9,158900,152300,6600,4.2
County,Albany County,2017,10,158300,152000,6300,4
County,Albany County,2017,11,156800,150600,6200,3.9
County,Albany County,2017,12,155700,149500,6200,4
County,Albany County,2016,0,158500,152000,6600,4.1
County,Albany County,2016,1,158600,151700,6900,4.4
County,Albany County,2016,2,158300,151300,7000,4.4
County,Albany County,2016,3,158700,152100,6600,4.2
County,Albany County,2016,4,158800,152400,6300,4
County,Albany County,2016,5,158800,152800,6000,3.8
County,Albany County,2016,6,160200,153500,6800,4.2
County,Albany County,2016,7,159900,152900,7000,4.4
County,Albany County,2016,8,159400,152600,6800,4.3
County,Albany County,2016,9,157900,151200,6700,4.2
County,Albany County,2016,10,158400,152000,6400,4
County,Albany County,2016,11,156900,151000,6000,3.8
County,Albany County,2016,12,156400,150200,6200,4
County,Albany County,2015,0,158200,151300,6900,4.4
County,Albany County,2015,1,157500,149500,8000,5.1
County,Albany County,2015,2,156800,149100,7700,4.9
County,Albany County,2015,3,157100,150200,6900,4.4
County,Albany County,2015,4,158000,151200,6800,4.3
County,Albany County,2015,5,158900,151900,7100,4.4
County,Albany County,2015,6,160500,153100,7500,4.6
County,Albany County,2015,7,159300,151800,7500,4.7
County,Albany County,2015,8,158800,152000,6800,4.3
County,Albany County,2015,9,157500,151100,6400,4.1
County,Albany County,2015,10,158600,152300,6300,3.9
County,Albany County,2015,11,157700,151600,6100,3.9
County,Albany County,2015,12,157600,151400,6100,3.9
County,Albany County,2014,0,157000,149300,7700,4.9
County,Albany County,2014,1,157500,148400,9100,5.8
County,Albany County,2014,2,157200,148000,9200,5.8
County,Albany County,2014,3,157600,149200,8300,5.3
County,Albany County,2014,4,156600,149500,7100,4.5
County,Albany County,2014,5,157200,149800,7500,4.8
County,Albany County,2014,6,158900,151100,7800,4.9
County,Albany County,2014,7,158300,150100,8200,5.2
