New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
New York City 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2021,13.1%,13.2%,11.2%,10.8%,9.9%,10.1%,10.2%,9.8%,8.9%,8.4%,,,,
2020,3.8%,3.8%,4.2%,15.5%,20.2%,18.7%,18.8%,14.9%,14.7%,11.7%,11.7%,11.6%,12.3%,
2019,4.8%,4.4%,4.1%,3.6%,3.8%,3.8%,4.1%,4%,3.5%,3.7%,3.4%,3%,3.9%,
2018,4.6%,4.5%,4.3%,3.9%,3.6%,4.2%,4.3%,4.3%,3.9%,4%,3.8%,4%,4.1%,
2017,5%,4.9%,4.4%,4.2%,4.3%,4.5%,4.9%,5%,4.5%,4.4%,4%,4%,4.5%,
2016,5.5%,5.4%,5.2%,4.8%,4.7%,5.2%,5.6%,5.5%,5.3%,5.3%,4.8%,4.4%,5.1%,
2015,6.7%,6.4%,5.8%,5.5%,5.6%,5.6%,5.7%,5.4%,5%,5.1%,5.1%,5%,5.6%,
2014,8.2%,8.2%,7.8%,6.8%,7.1%,7.1%,7.4%,7.1%,6.4%,6.4%,6.4%,5.9%,7.1%,
2013,9.9%,9.4%,8.8%,8.3%,8.7%,9.1%,9.2%,9%,8.7%,8.8%,8.1%,7.6%,8.8%,
2012,9.9%,10%,9.6%,8.9%,9.3%,9.7%,10%,9.6%,9%,9.2%,8.9%,9%,9.4%,
2011,9.5%,9.2%,8.7%,8.5%,8.7%,9.1%,9.4%,9.3%,9.3%,9.5%,9.2%,9.2%,9.1%,
2010,10.5%,10.3%,10%,9.5%,9.3%,9.5%,9.7%,9.6%,9.3%,9.2%,9.3%,8.8%,9.6%,
2009,7.8%,8.4%,8.6%,8.4%,8.9%,9.5%,9.8%,10%,9.9%,10.1%,9.9%,9.9%,9.3%,
2008,5.5%,5.3%,5%,4.5%,4.9%,5.2%,5.7%,6%,5.8%,6.1%,6.3%,6.8%,5.6%,
2007,5.2%,4.9%,4.4%,4.3%,4.5%,4.9%,5.5%,5.2%,4.8%,4.9%,4.8%,4.9%,4.9%,
2006,5.5%,5.6%,5.2%,4.9%,4.7%,4.9%,5.4%,4.9%,4.5%,4.4%,4.5%,4.2%,4.9%,
2005,6.2%,6.2%,5.5%,5.4%,5.4%,5.4%,5.8%,5.4%,5.7%,5.6%,5.8%,5.2%,5.7%,
2004,8.3%,7.9%,7.8%,7%,6.8%,7.3%,7.2%,6.7%,6.4%,6.2%,6%,5.9%,7%,
2003,9%,8.7%,8.3%,8%,8%,8.5%,8.5%,8.3%,8.2%,8.1%,8%,7.5%,8.3%,
2002,8.3%,8.2%,8.2%,7.9%,7.7%,7.8%,8.1%,7.9%,7.5%,8%,8.3%,8.2%,8%,
2001,5.7%,5.7%,5.5%,5.2%,5.1%,5.4%,5.7%,6.4%,6.4%,7%,7.3%,7.5%,6.1%,
2000,6.6%,6.4%,6.3%,5.6%,5.7%,5.5%,5.9%,5.9%,5.4%,5.5%,5.4%,5.1%,5.8%,
1999,7.6%,7.7%,7%,6.9%,6.6%,6.9%,7.3%,6.8%,6.8%,6.5%,6.2%,5.8%,6.8%,
1998,9%,8.9%,8.7%,7.6%,7.5%,7.6%,7.9%,7.6%,7.6%,7.8%,7.4%,7.1%,7.9%,
1997,10.2%,10.1%,10%,9.6%,9.4%,9.7%,9.6%,9.3%,9%,8.7%,8.2%,8%,9.3%,
1996,8.9%,8.8%,9%,8.6%,8.7%,8.4%,9.1%,8.5%,8.4%,8.7%,9%,9%,8.8%,
1995,8.3%,8.1%,8.1%,8.2%,8.1%,8.1%,8.5%,8.4%,8.3%,8.2%,8.1%,8%,8.2%,
1994,10.5%,10.1%,9.7%,9.2%,8.6%,8.7%,9%,8.6%,8%,8.1%,7.7%,7.1%,8.8%,
1993,12.2%,11.7%,10.8%,10.2%,10.1%,10.2%,10.2%,9.9%,9.6%,10.1%,9.8%,9.6%,10.4%,
1992,10.8%,11.1%,10.7%,10.2%,10.8%,11.5%,11.7%,11.5%,11.4%,11.2%,11.2%,11.1%,11.1%,
1991,8.3%,8.5%,8.6%,8.3%,8.8%,8.8%,9%,9%,8.8%,9.1%,9.4%,9.5%,8.8%,
1990,7.1%,7%,6.7%,6.4%,6.4%,6.1%,6.8%,6.7%,7.1%,7.3%,7.3%,7.2%,6.8%,
1989,6.5%,6.3%,5.8%,6.2%,6.4%,6.4%,6.6%,6.5%,6.7%,6.7%,6.8%,6.5%,6.5%,
1988,5.3%,4.9%,4.8%,4.3%,4.7%,4.7%,5.2%,5.3%,5.3%,5.5%,5.5%,5.5%,5.1%,
1987,6.9%,6.4%,6%,5.3%,5.4%,5.5%,5.7%,5.2%,5%,5.5%,5.4%,4.8%,5.6%,
1986,7.8%,8.3%,8%,7.8%,7.8%,7.5%,7.5%,7%,6.8%,6.8%,6.4%,5.9%,7.3%,
1985,9.3%,9.1%,8.8%,8.3%,8.1%,7.9%,8%,7.7%,7.7%,7.9%,7.5%,7.3%,8.1%,
1984,9.4%,9.2%,8.8%,8.4%,8.3%,8.8%,9.7%,9.5%,8.9%,9.1%,8.5%,8.2%,8.9%,
1983,10.7%,10.5%,10.4%,9.7%,9.7%,10%,10.1%,10.1%,9.5%,9.4%,8.9%,8.7%,9.8%,
1982,9.7%,9.5%,9.6%,9.2%,9.3%,9.6%,10%,9.8%,9.7%,10%,10.2%,10%,9.7%,
1981,9.4%,9.3%,9.2%,8.5%,8.7%,8.7%,8.9%,8.5%,8.4%,8.9%,9%,9.1%,8.9%,
1980,8.9%,8.7%,8.2%,8.2%,8.3%,8.2%,8.9%,8.6%,8.3%,8.6%,8.5%,8.1%,8.5%,
1979,8.9%,8.9%,8.8%,8.2%,8.2%,8.8%,9%,9.1%,8.7%,8.7%,8.3%,7.8%,8.6%,
1978,10%,9.7%,9.2%,8.6%,8.5%,8.7%,9.3%,8.8%,9%,8.9%,8.6%,8.3%,9%,
1977,11.1%,11%,10.6%,9.6%,9.4%,10.2%,10.3%,10.3%,10.3%,10.1%,10.3%,9.2%,10.2%,
1976,11.9%,11.8%,10.9%,10.5%,9.9%,11.2%,11.8%,11.5%,11.1%,11%,11.1%,10.6%,11.1%,
LABOR FORCE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2021,3843600,3895900,4108800,4086300,3986400,4021700,3986100,3973800,3951400,3979900,,,,
2020,4083600,4118500,4077400,3682100,3640700,3872000,3899000,3987000,3965000,3868600,3868000,3856000,3909800,
2019,4075400,4106200,4099000,4061500,4039400,4060500,4079700,4068300,4059400,4086500,4055000,4055200,4070500,
2018,4088900,4134200,4110600,4073800,4050800,4079500,4092500,4062600,4034300,4075200,4047100,4070200,4076600,
2017,4105600,4145300,4152900,4113800,4102400,4117600,4162100,4114200,4124400,4109800,4081200,4064700,4116200,
2016,4075300,4114600,4114400,4064300,4048200,4072800,4107500,4099600,4089700,4097800,4083100,4083300,4087600,
2015,4101800,4125200,4114000,4095900,4097700,4087600,4108500,4084000,4040100,4073300,4066100,4074400,4089100,
2014,4078200,4111800,4113300,4060300,4075200,4102500,4112700,4094300,4066900,4108700,4086200,4082900,4091100,
2013,4052300,4060200,4037900,4038500,4052300,4077100,4113300,4092500,4064700,4077400,4065800,4050800,4065200,
2012,3979300,4018700,4021000,3987800,4004100,4025500,4056600,4028300,4018500,4047900,4018400,4046400,4021000,
2011,3970700,3973400,3973800,3951600,3952800,3954700,3985500,4000600,3976100,3996400,3979100,3987600,3975200,
2010,3973900,4004200,3999400,4007400,3974800,3982100,4000800,4000600,3962700,3963100,3947300,3950900,3980600,
