YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate
1976,1," 3,066,605 "," 2,723,016 "," 343,589 ", 11.2 
1976,2," 3,065,430 "," 2,722,421 "," 343,009 ", 11.2 
1976,3," 3,064,867 "," 2,722,931 "," 341,936 ", 11.2 
1976,4," 3,067,313 "," 2,726,299 "," 341,014 ", 11.1 
1976,5," 3,071,973 "," 2,730,681 "," 341,292 ", 11.1 
1976,6," 3,077,212 "," 2,735,049 "," 342,163 ", 11.1 
1976,7," 3,081,073 "," 2,737,981 "," 343,092 ", 11.1 
1976,8," 3,082,731 "," 2,739,158 "," 343,573 ", 11.1 
1976,9," 3,081,830 "," 2,739,239 "," 342,591 ", 11.1 
1976,10," 3,079,423 "," 2,738,977 "," 340,446 ", 11.1 
1976,11," 3,076,833 "," 2,739,097 "," 337,736 ", 11.0 
1976,12," 3,074,891 "," 2,740,292 "," 334,599 ", 10.9 
1977,1," 3,074,060 "," 2,742,616 "," 331,444 ", 10.8 
1977,2," 3,072,906 "," 2,745,433 "," 327,473 ", 10.7 
1977,3," 3,070,256 "," 2,748,001 "," 322,255 ", 10.5 
1977,4," 3,066,318 "," 2,749,662 "," 316,656 ", 10.3 
1977,5," 3,061,884 "," 2,750,138 "," 311,746 ", 10.2 
1977,6," 3,057,869 "," 2,749,330 "," 308,539 ", 10.1 
1977,7," 3,054,913 "," 2,747,823 "," 307,090 ", 10.1 
1977,8," 3,053,950 "," 2,747,108 "," 306,842 ", 10.0 
1977,9," 3,054,635 "," 2,747,754 "," 306,881 ", 10.0 
1977,10," 3,055,174 "," 2,749,350 "," 305,824 ", 10.0 
1977,11," 3,054,758 "," 2,751,768 "," 302,990 ", 9.9 
1977,12," 3,053,551 "," 2,754,761 "," 298,790 ", 9.8 
1978,1," 3,052,301 "," 2,758,836 "," 293,465 ", 9.6 
1978,2," 3,052,029 "," 2,764,189 "," 287,840 ", 9.4 
1978,3," 3,052,822 "," 2,770,144 "," 282,678 ", 9.3 
1978,4," 3,054,195 "," 2,775,954 "," 278,241 ", 9.1 
1978,5," 3,056,271 "," 2,781,380 "," 274,891 ", 9.0 
1978,6," 3,058,314 "," 2,786,035 "," 272,279 ", 8.9 
1978,7," 3,059,865 "," 2,789,656 "," 270,209 ", 8.8 
1978,8," 3,060,853 "," 2,792,099 "," 268,754 ", 8.8 
1978,9," 3,061,553 "," 2,794,154 "," 267,399 ", 8.7 
1978,10," 3,062,997 "," 2,796,795 "," 266,202 ", 8.7 
1978,11," 3,065,284 "," 2,800,067 "," 265,217 ", 8.7 
1978,12," 3,066,958 "," 2,802,704 "," 264,254 ", 8.6 
1979,1," 3,066,675 "," 2,803,072 "," 263,603 ", 8.6 
1979,2," 3,064,349 "," 2,800,882 "," 263,467 ", 8.6 
1979,3," 3,061,280 "," 2,797,304 "," 263,976 ", 8.6 
1979,4," 3,059,125 "," 2,793,895 "," 265,230 ", 8.7 
1979,5," 3,058,767 "," 2,791,929 "," 266,838 ", 8.7 
